index,Roast Level,Avg Agtron,price,rating,Country Region,Country,review_sentence,company,coffee
1a,Medium-Light,66,19,92,The Americas,Argentina ; Honduras," Caramelized hazelnut, cocoa nib, dried date, freesia-like flowers, fresh-cut fir in aroma and cup",Temple Coffee Roasters,Honduras Buenos Aires
2a,Light,71,65.77,93,The Americas,Bolivia," Dried strawberry, nutmeg, fresh-cut fir, reduction of balsamic vinegar, myrrh in aroma and cup",Sucré Beans,Bolivia Yungas Caranavi Alasitas Geisha Natural
3a,Light,75,41.14,91,The Americas,Bolivia," Pineapple, cocoa powder, almond, myrrh in aroma and cup",Intelligentsia Coffee,Bolivia Finca La Linda Honey Java
4a,Light,71,15.5,91,The Americas,Bolivia," Cocoaish dark chocolate, blood orange, fig, musky lily in aroma and cup",Thanksgiving Coffee,Bolivia Canto de Bolivar
5a,Light,73,14.23,90,The Americas,Bolivia," Bright acidity, silky mouthfeel with flavors dominated by orange and lemon citrus and complimented by softer floral and caramel tones",49th Parallel Coffee Roasters,Organic Bolivia Pedro de Montana
6a,Medium,59,10.75,91,The Americas,Bolivia," Ken simply seems to have found more going on and liked what he found better: a fuller mouthfeel, a slightly more complex set of aromatics (for Ken citrus, honey, flowers, chocolate; for his co-taster taster citrus, praline, pear), a longer finish and a more complex, persistent flavor in milk",Just Coffee Cooperative,AIPEP Bolivian Fair Trade Espresso
7a,Medium,59,14.75,93,The Americas,Bolivia," Dark chocolate, night-blooming flowers, molasses, prune, with a brightening hint of tangerine-like citrus in aroma and cup",Kean Coffee,Bolivia Copacabana
8a,Medium,61,16,92,The Americas,Bolivia," Chocolate, hazelnut, orange zest, flowers in aroma and cup",Water Avenue Coffee Company,Bolivia Illiimani
9a,Medium,57,13.5,91,The Americas,Bolivia," Wet oak, sweet pumpkin, cantaloupe, mushroom, dark chocolate in aroma and cup",Flight Coffee Co.,Bolivia Buenavista Colonia Villa Rosario
10a,Medium,56,20.69,90,The Americas,Bolivia," Minty dark chocolate, night-blooming flowers, fresh-cut cedar, almond in aroma and cup",CafeTaster,Bolivia Organic Buenavista 1738
11a,Medium,58,25.49,91,The Americas,Bolivia," Honey, dark chocolate, pungent fir, orange zest in aroma and cup",The WestBean Coffee Roasters,Bolivia Organic Uchumachi
12a,Medium,56,10.95,90,The Americas,Bolivia," Nut-toned caramel, orange, fir, a hint of flowers in aroma and cup",Grounds for Change,Bolivia “Taipiplaya” Fair Trade Organic Certified
13a,Medium,61,18.09,89,The Americas,Bolivia," Honey, cocoaish nut, hints of cedar and flowers in aroma and cup",Phil & Sebastian Coffee Roasters,Carmelo Yujra Bolivia
14a,Medium,60,13.75,93,The Americas,Bolivia, Sweet lemony citrus and flowers overlay notes of brown sugar and rich almond in aroma and cup,Bird Rock Coffee Roasters,Bolivia Carmelo Yujra
15a,Medium,61,18,92,The Americas,Bolivia," Deep, sweet-toned aroma: lemon, orange, nut",Cafe Grumpy,Bolivia Familia Miranda
16a,Medium,56,24,90,The Americas,Bolivia," Both cuppers were impressed by a “lightly syrupy” (Ken) mouthfeel and a sweet, cocoa-toned finish",Barefoot Coffee Roasters,Bolivia Flor Rosa COE 29
17a,Medium,58,23.99,91,The Americas,Bolivia," In the cup silky mouthfeel, balanced acidity and a complex range of flavors that hint at citrus, blackberry, nut, molasses and more chocolate",Fratello Coffee Roasters,Bolivian Cafe Central COE
18a,Medium,57,23.99,92,The Americas,Bolivia, In the cup flavor builds in intensity; delicate notes of orange and flowers give way to sweeter berry-toned fruit and brandyish dark chocolate as the cup cools,Fratello Coffee Roasters,Bolivia Agrotakesi Peaberry
19a,Medium,60,17.1,93,The Americas,Bolivia," In the cup rich, complexly expressed acidity, syrupy mouthfeel",Olympia Coffee Roasting,Bolivia Mauricio Diez Medina Peaberry
20a,Medium-Dark,49,14.25,94,The Americas,Bolivia," Also some fruit complication (orange for Ken, berry for Sean)",Victrola Coffee Roasters,Bolivia Caranavi Cenaproc Co-op
21a,Medium-Dark,51,21.06,90,The Americas,Bolivia," Wendy found “stewed apple” and “ripe black plums and licorice” in aroma and cup respectively, while Ken (91) found blackberry, cocoa, and a delicate but distinct hint of flowers",Fratello Coffee Roasters,Bolivian Café Central
22a,Medium-Light,69,20,93,The Americas,Bolivia," Violet, pineapple, pistachio, baking chocolate, oak in aroma and cup",Corvus Coffee Roasters,Finca Kusillo Bolivia
23a,Medium-Light,64,43.28,91,The Americas,Bolivia," Pomegranate, cacao nib, narcissus-like flowers, roasted pistachio, honey in aroma and cup",Plat Coffee Roastery,Bolivia Yungas Caranavi Finca Las Alasitas Peaberry
24a,Medium-Light,66,18,91,The Americas,Bolivia," Dried apricot, almond, fresh-cut fir, cocoa powder, a hint of white pepper in aroma and cup",Cafe Virtuoso,Bolivia Caranavi
25a,Medium-Light,62,19.99,93,The Americas,Bolivia," Orange- and papaya-like fruit notes, dark chocolate, crisply lush floral notes in aroma and cup",Bird Rock Coffee Roasters,Bolivia Carmelo Yujra Organic
26a,Medium-Light,67,21,90,The Americas,Bolivia," Honey, prairie flowers, almond, fresh-cut fir in aroma and cup",Marcheur Roaster,Bolivia Caarnavi Buenavista Organic Light Roast
27a,Medium-Light,68,17.28,92,The Americas,Bolivia," Honey, citrus zest, roasted cocoa nib, honeysuckle in aroma and cup",PT's Coffee Roasting Co.,Bolivia Senda Salvaje Juan Yujra
28a,Medium-Light,61,15,93,The Americas,Bolivia," Crisp roasted nut, minty dark chocolate, hints of butter and sage-like herb in aroma and cup",Papa Lin's Coffee Roasting,Bolivia Organic Buenavista
29a,Medium-Light,62,16.52,92,The Americas,Bolivia," Round, gently sweet-toned acidity; lightly plush, smooth mouthfeel",PT's Coffee Roasting Co.,Bolivia Tres Estrellas Organic
30a,Medium-Light,66,16.99,93,The Americas,Bolivia," Tangerine, cocoa, brown sugar, floral top notes",Bird Rock Coffee Roasters,Bolivia Marcial Huanca
31a,Medium-Light,64,15.5,92,The Americas,Bolivia," In the cup gentle but impressively deep acidity, lightly syrupy mouthfeel, continued balance of pungent fir with roundly sweet milk chocolate and apricot notes",Temple Coffee and Tea,Bolivia Familia Miranda
32a,Medium-Light,63,31.5,90,The Americas,Bolivia," Tartly cherryish chocolate with hints of nut, aromatic wood, flowers and leather in both aroma and cup",49th Parallel Coffee Roasters,Bolivia Cafe Alan COE
33a,Light,75,13.25,94,The Americas,Brazil," Raspberry, tamarind, lilac, butterscotch, a hint of rye whisky in aroma and cup",Revel Coffee,Brazil Estancia Telese
34a,Light,71,13.99,93,The Americas,Brazil," Pistachio, honeysuckle, clove, molasses, baker’s chocolate in aroma and cup",Topéca Coffee Roasters,Fazenda Sertão Brazil
35a,Light,76,13.39,92,The Americas,Brazil," Lemon zest, almond, dried apricot, cedar, honeysuckle in aroma and cup",Marcheur Roastery,Carmo de Minas Oliveira Fernando Manoel de Oliveira Brazil Natural
36a,Light,72,18.49,91,Africa ; The Americas,Brazil," Caramel, honeysuckle, walnut, fir in aroma and cup",Dr. Danger Coffee,Special Reserve Surgical Strike
37a,Light,75,17.5,93,The Americas,Brazil," Halvah-like honey and nut, coconut, narcissus-like flowers, a hint of rye whisky in aroma and cup",Temple Coffee and Tea,Brazil Serra Do Bone
38a,Light,73,14.25,91,The Americas,Brazil," Distinct honeysuckle-like flowers, apple, caramel, walnut, a hint of roasted cacao nib in aroma and cup",Ritual Coffee Roasters,Brazil Yellow Catuai Esperança Joao “Zinho” Souza
39a,Light,73,18,92,The Americas,Brazil," Crisp roasted cacao nib, hazelnut, apricot, hints of honeysuckle and musk in aroma and cup",Linea Caffe S.F.,Brazil Fazenda Sertaozinho
40a,Light,90,16,93,The Americas,Brazil," Roasted hazelnut, roasted cacao nib, vanilla, hints of Scotch whisky (the smoother Highland style), plumeria-like flowers, orangy citrus carry from aroma through finish",Chromatic Coffee,Brazil Leuven Santa Margarida Estate Lot 129
41a,Medium,59,14.95,90,The Americas,Brazil," Hazelnut butter, baking chocolate, pink peppercorn, fresh-cut fir, graham cracker in aroma and cup",Paradise Roasters,S.O. Espresso Brazil Fazenda Cachoeira Yellow Bourbon
42a,Medium,53,10.21,90,The Americas,Brazil," Almond, gardenia, dark chocolate, date, gently scorched cedar in aroma and small cup","Nongfu Spring Co., Ltd.",Americano Blend Espresso
43a,Medium,60,15,91,The Americas,Brazil," Date, hazelnut, sassafras, elm, freesia-like flowers in aroma and cup",SkyTop Coffee,Brazil Ibicoara Chapada Diamantina Natural
44a,Medium,58,15.05,91,The Americas,Brazil," Roasted cashew, gardenia, apricot, cardamom, baker’s chocolate in aroma and small cup",Auto Coffee,Brazil Fazenda Sertãozinho
45a,Medium,53,24.13,93,The Americas,Brazil," A particularly aromatic cedar plus caramel, almond butter, peach, rose-like flowers in aroma and small cup",Simon Hsieh's Aroma Roast Coffees,Natural Brazil “Hat Magic” Phoenix Special
46a,Medium,53,8.25,92,The Americas,Brazil," Plum jam, dark chocolate, hazelnut, cedar in aroma and small cup",Creation Food Co.,Ipanema Special Reserve Pulped
47a,Medium,55,11.35,90,The Americas,Brazil," Cacao, molasses, vanilla, licorice, pistachio in aroma and small cup","Seeker Co, Ltd.",Aroma 19 Blend Coffee Beans
48a,Medium,52,9.03,90,The Americas,Brazil," Dark chocolate, rose, anise, cedar, a hint of orange in aroma and small cup","Seeker Co, Ltd.",Tuscany Blend Coffee Beans
49a,Medium,54,12.95,94,The Americas,Brazil," Dark chocolate, black cherry, musky lily, hints of oak and thyme in aroma and small cup",Paradise Roasters,S.O. Espresso Brazil Fazenda Santa Ines
50a,Medium,52,60,92,The Americas,Brazil," Softly scorched cedar, a distinct, complexly expressed dark chocolate, hints of blackberry and grapefruit in aroma and cup",Starbucks Reserve Roastery,Brazil Sitio Baixadao
51a,Medium,60,12.95,94,The Americas,Brazil," Brown sugar, fresh-cut cedar, rich chocolate, apricot, cinnamon, a hint of narcissus-like flowers in aroma and small cup",Paradise Roasters,SO Espresso Brazil Fazenda Rainha Natural
52a,Medium,59,18,92,The Americas,Brazil," Blueberry, chocolate, fresh-cut cedar, sweet narcissus-like flowers in aroma and cup",Papa Lin's Coffee Roasting,Brazil Fazenda Furnas Natural
53a,Medium,58,13.88,92,The Americas,Brazil, Crisply bittersweet acidity; lightly syrupy mouthfeel,Victrola Coffee Roasters,Brasil Carmo De Minas Fazenda Monte Verde Bourbon
54a,Medium,57,13.5,92,The Americas,Brazil," Raisin, peach, honey, sweet chocolate, a hint of fresh-cut fir in aroma and cup",Ghost Town Coffee Roasters,Brazil Grota Funda
55a,Medium,61,14.5,93,The Americas,Brazil," Peach, milk chocolate, bergamot-like citrus, honeysuckle in aroma and cup",Equator Coffees & Teas,Brazil Bela Vista Micro-Lot
56a,Medium,59,15.99,90,The Americas,Brazil," Fresh-cut cedar, hazelnut, dark chocolate, a hint of orangy citrus in aroma and cup",Atomic Cafe Coffee Roasters,Brasil Sitio Sao Gabriel
57a,Medium,60,10.5,92,The Americas,Brazil," Chocolate, almond-paste, tangerine and plum notes with vanilla hints in aroma and, more pronounced, in the small cup",Flight Coffee Co.,Espresso Motoretta
58a,Medium,56,12.95,93,The Americas,Brazil, Impressively syrupy mouthfeel,Paradise Roasters,Brazil Pocos de Caldas S.O. Espresso
